pertanyaan_nlu,id_kategori,skor_tertinggi,status
link web helpdesk buat lapor masalah siakad,7,0.27,⚠️ Tidak ada jawaban yang cocok
kalau nim tidak ditemukan di sistem harus lapor siapa,7,0.0,⚠️ Tidak ada jawaban yang cocok
dosen lupa input absen di siakad,7,0.26,⚠️ Tidak ada jawaban yang cocok
bisa gak ganti absen setelah seminggu berlalu,7,0.0,⚠️ Tidak ada jawaban yang cocok
lupa belum simpan bukti transfer bayar ukt,3,0.23,⚠️ Tidak ada jawaban yang cocok
apakah anak yatim piatu bisa dapat potongan ukt,3,0.23,⚠️ Tidak ada jawaban yang cocok
sudah bayar ukt tapi status di siakad masih belum lunas,3,0.23,⚠️ Tidak ada jawaban yang cocok
kalau salah transfer nominal ukt,3,0.23,⚠️ Tidak ada jawaban yang cocok
apakah ada bantuan ukt dari kampus,3,0.23,⚠️ Tidak ada jawaban yang cocok
kalau tidak ikut pkkmb sanksinya apa,6,0.0,⚠️ Tidak ada jawaban yang cocok
ormawa yang ada di polinema apa aja,6,0.0,⚠️ Tidak ada jawaban yang cocok
sanksi kalau ketahuan melanggar tata tertib kampus,6,0.0,⚠️ Tidak ada jawaban yang cocok
jam operasional gedung graha polinema,6,0.0,⚠️ Tidak ada jawaban yang cocok
apa itu ldk dan apakah maba wajib ikut,6,0.0,⚠️ Tidak ada jawaban yang cocok
kapan jadwal banding ukt dibuka,3,0.23,⚠️ Tidak ada jawaban yang cocok
bayar ukt telat apakah ada denda,3,0.23,⚠️ Tidak ada jawaban yang cocok
kalau telat bayar ukt dan lupa daftar ulang,3,0.23,⚠️ Tidak ada jawaban yang cocok
kalau mau bayar ukt lewat bni caranya,3,0.23,⚠️ Tidak ada jawaban yang cocok
surat peringatan (sp) dari akademik karena nilai jelek,1,0.27,⚠️ Tidak ada jawaban yang cocok
info kontak dosen pengampu mata kuliah,7,0.0,⚠️ Tidak ada jawaban yang cocok
minta nomor telepon dosen ke siapa,7,0.0,⚠️ Tidak ada jawaban yang cocok
Salam,8,0.0,⚠️ Tidak ada jawaban yang cocok
Haloo,8,0.0,⚠️ Tidak ada jawaban yang cocok
Haiii,8,0.0,⚠️ Tidak ada jawaban yang cocok
Assalamu'alaikum,8,0.0,⚠️ Tidak ada jawaban yang cocok
Samlekom,8,0.0,⚠️ Tidak ada jawaban yang cocok
Mikum,8,0.0,⚠️ Tidak ada jawaban yang cocok
Assalamu'alaikum wr. wb.,8,0.0,⚠️ Tidak ada jawaban yang cocok
p,8,0.0,⚠️ Tidak ada jawaban yang cocok
Ppp,8,0.0,⚠️ Tidak ada jawaban yang cocok
Uy,8,0.0,⚠️ Tidak ada jawaban yang cocok
Oi,8,0.0,⚠️ Tidak ada jawaban yang cocok
Euy,8,0.0,⚠️ Tidak ada jawaban yang cocok
Cuy,8,0.0,⚠️ Tidak ada jawaban yang cocok
Sis,8,0.0,⚠️ Tidak ada jawaban yang cocok
Tes,8,0.0,⚠️ Tidak ada jawaban yang cocok
Tes 123,8,0.0,⚠️ Tidak ada jawaban yang cocok
Ada yang bisa bantu?,8,0.0,⚠️ Tidak ada jawaban yang cocok
Botnya jalan?,8,0.0,⚠️ Tidak ada jawaban yang cocok
Tes doang,8,0.0,⚠️ Tidak ada jawaban yang cocok
Apa kabar?,8,0.0,⚠️ Tidak ada jawaban yang cocok
Gimana kabarnya?,8,0.0,⚠️ Tidak ada jawaban yang cocok
Kabar baik?,8,0.0,⚠️ Tidak ada jawaban yang cocok
Lagi apa?,8,0.0,⚠️ Tidak ada jawaban yang cocok
Sibuk ga?,8,0.0,⚠️ Tidak ada jawaban yang cocok
Maaf mengganggu,8,0.0,⚠️ Tidak ada jawaban yang cocok
Punten,8,0.0,⚠️ Tidak ada jawaban yang cocok
Izin bertanya,8,0.0,⚠️ Tidak ada jawaban yang cocok
no hp ketua jurusan berapa ya,9,0.0,⚠️ Tidak ada jawaban yang cocok
cara menghubungi kajur jti,9,0.0,⚠️ Tidak ada jawaban yang cocok
bagaimana cara menghubungi bu,9,0.0,⚠️ Tidak ada jawaban yang cocok
cara chat bu,9,0.0,⚠️ Tidak ada jawaban yang cocok
saya mau menghubungi bagian pkl,9,0.0,⚠️ Tidak ada jawaban yang cocok
cara menghubungi ibu,9,0.0,⚠️ Tidak ada jawaban yang cocok
lewat mana saya bisa menghubungi kaprodi?,9,0.0,⚠️ Tidak ada jawaban yang cocok
tolong cariin nomernya pak,9,0.0,⚠️ Tidak ada jawaban yang cocok
bisa bantu saya menghubungi ketua pkl?,9,0.0,⚠️ Tidak ada jawaban yang cocok
tolong cariin nomernya bu,9,0.0,⚠️ Tidak ada jawaban yang cocok
saya mau menghubungi bagian legalisir ijazah,9,0.0,⚠️ Tidak ada jawaban yang cocok
kontaknya kaprodi ada?,9,0.0,⚠️ Tidak ada jawaban yang cocok
cara menghubungi bapak,9,0.0,⚠️ Tidak ada jawaban yang cocok
cara chat pak,9,0.0,⚠️ Tidak ada jawaban yang cocok
bagaimana cara menghubungi pak,9,0.0,⚠️ Tidak ada jawaban yang cocok
apakah dospem ditentukan kaprodi atau milih sendiri?,10,0.23,⚠️ Tidak ada jawaban yang cocok
cara minta ttd dospem,10,0.21,⚠️ Tidak ada jawaban yang cocok
bagaimana kalau dospem sulit dihubungi,10,0.28,⚠️ Tidak ada jawaban yang cocok
pembagian dospem skripsi jti,10,0.29,⚠️ Tidak ada jawaban yang cocok
apakah harus ttd dua dospem untuk sidang,10,0.25,⚠️ Tidak ada jawaban yang cocok
jadwal ujian skripsi gelombang 1,10,0.21,⚠️ Tidak ada jawaban yang cocok
cara cek jadwal ujian komprehensif,10,0.26,⚠️ Tidak ada jawaban yang cocok
lembar persetujuan ujian skripsi,10,0.24,⚠️ Tidak ada jawaban yang cocok
syarat lulus ujian komprehensif jti,10,0.24,⚠️ Tidak ada jawaban yang cocok
kapan ijazah dan transkrip skripsi keluar,10,0.28,⚠️ Tidak ada jawaban yang cocok
warna cover skripsi d4 jti,10,0.3,⚠️ Tidak ada jawaban yang cocok
cara meminta ttd kajur untuk skripsi,10,0.24,⚠️ Tidak ada jawaban yang cocok
syarat daftar yudisium d4 jti,4,0.26,⚠️ Tidak ada jawaban yang cocok
kapan skl bisa dicetak setelah sidang,2,0.0,⚠️ Tidak ada jawaban yang cocok
ada orang ga?,8,0.0,⚠️ Tidak ada jawaban yang cocok
link legalisasi ijazah alumni,4,0.2,⚠️ Tidak ada jawaban yang cocok
alamat web tracer study polinema,4,0.0,⚠️ Tidak ada jawaban yang cocok
timeline pkl semester genap ini bisa lihat dimana ya?,11,0.21,⚠️ Tidak ada jawaban yang cocok
kapan batas waktu terakhir pengajuan proposal tempat pkl?,11,0.3,⚠️ Tidak ada jawaban yang cocok
timeline lengkap magang dari awal daftar sampai sidang,11,0.23,⚠️ Tidak ada jawaban yang cocok
pkl dilaksanakan waktu liburan semester atau pas masuk kuliah?,11,0.18,⚠️ Tidak ada jawaban yang cocok
pembagian dospem magang itu kita milih sendiri atau dipilihin prodi?,11,0.28,⚠️ Tidak ada jawaban yang cocok
min kok namaku belum dapet plotting dospem magang?,11,0.24,⚠️ Tidak ada jawaban yang cocok
cara buat surat pengantar pkl ke perusahaan gimana min?,11,0.23,⚠️ Tidak ada jawaban yang cocok
mau minta surat pengantar magang ngurusnya ke bagian mana?,11,0.29,⚠️ Tidak ada jawaban yang cocok
minta link pengajuan surat pengantar pkl dong admin,11,0.23,⚠️ Tidak ada jawaban yang cocok
prosedur pengesahan dan tanda tangan proposal magang,11,0.29,⚠️ Tidak ada jawaban yang cocok
format template proposal pkl minta di mana ya?,11,0.21,⚠️ Tidak ada jawaban yang cocok
butuh waktu berapa lama surat pengantar magang jadi dan bisa diambil?,11,0.24,⚠️ Tidak ada jawaban yang cocok
pengajuan proposal pkl ke kaprodi alurnya gimana?,11,0.21,⚠️ Tidak ada jawaban yang cocok
kalau mau minta ttd lembar pengesahan proposal magang harus janjian dulu nggak?,11,0.26,⚠️ Tidak ada jawaban yang cocok
proses pembuatan surat pengantar pkl berapa hari kerja min?,11,0.23,⚠️ Tidak ada jawaban yang cocok
format cover proposal magang yang bener sesuai panduan gimana?,11,0.26,⚠️ Tidak ada jawaban yang cocok
batas waktu ngasih surat balasan dari tempat pkl kapan?,11,0.28,⚠️ Tidak ada jawaban yang cocok
min kalau mau perpanjang waktu magang prosedurnya gimana?,11,0.24,⚠️ Tidak ada jawaban yang cocok
prosedur konfirmasi perpanjangan pkl ke kampus gimana?,11,0.28,⚠️ Tidak ada jawaban yang cocok
cara lapor ke dospem kalau waktu magang diperpanjang sama hrd,11,0.18,⚠️ Tidak ada jawaban yang cocok
minimal jumlah bimbingan pkl ke dosen itu berapa kali sih min?,11,0.18,⚠️ Tidak ada jawaban yang cocok
kalau bimbingan magang kurang dari 3 kali boleh daftar sidang nggak?,11,0.23,⚠️ Tidak ada jawaban yang cocok
logbook magang ditulis tangan di buku atau diketik di web?,11,0.21,⚠️ Tidak ada jawaban yang cocok
form penilaian pkl lembar dari perusahaan diserahkan kemana?,11,0.19,⚠️ Tidak ada jawaban yang cocok
apakah ada daftar nama perusahaan yang di-blacklist kampus buat magang?,11,0.21,⚠️ Tidak ada jawaban yang cocok
pkl di luar kota atau luar pulau apakah diperbolehkan min?,11,0.3,⚠️ Tidak ada jawaban yang cocok
sertifikat magang dari kampus keluarnya kapan min?,11,0.26,⚠️ Tidak ada jawaban yang cocok
cara masukin konversi nilai magang ke transkrip siakad,11,0.24,⚠️ Tidak ada jawaban yang cocok
min mau tanya link buat daftar magang dimana?,11,0.29,⚠️ Tidak ada jawaban yang cocok
kalau dari pihak perusahaan minta extend magang harus bikin surat tugas lagi?,11,0.27,⚠️ Tidak ada jawaban yang cocok
simagang itu apa sih min?,11,0.22,⚠️ Tidak ada jawaban yang cocok
web simagang polinema fungsinya buat apa ya?,11,0.24,⚠️ Tidak ada jawaban yang cocok
"min kalau udah dapet tempat dari simagang, tetep harus bikin surat pengantar kampus nggak?",11,0.29,⚠️ Tidak ada jawaban yang cocok
apa saja administrasi yang harus diurus buat skripsi?,10,0.21,⚠️ Tidak ada jawaban yang cocok
min syarat maju ujian skripsi berkasnya apa aja?,10,0.28,⚠️ Tidak ada jawaban yang cocok
batas persentase maksimal turnitin buat skripsi berapa?,10,0.21,⚠️ Tidak ada jawaban yang cocok
cara ngurus surat hasil cek plagiasi turnitin gimana?,10,0.21,⚠️ Tidak ada jawaban yang cocok
berkas bukti bimbingan logbook skripsi dikumpulkan kemana?,10,0.3,⚠️ Tidak ada jawaban yang cocok
berkas skripsi ini dikumpulkan softcopy atau hardcopy?,10,0.26,⚠️ Tidak ada jawaban yang cocok
berkas form pendaftaran sidang diserahkan ke loket atau online?,10,0.29,⚠️ Tidak ada jawaban yang cocok
surat keterangan bebas kompen wajib buat daftar skripsi?,10,0.23,⚠️ Tidak ada jawaban yang cocok
apakah surat keterangan sehat dibutuhkan untuk daftar skripsi?,10,0.27,⚠️ Tidak ada jawaban yang cocok
berkas revisi skripsi setelah sidang diserahkan ke mana?,10,0.29,⚠️ Tidak ada jawaban yang cocok
min kalau mau ganti judul skripsi berkas apa yang harus diurus?,10,0.28,⚠️ Tidak ada jawaban yang cocok
min pas foto buat berkas skripsi ukurannya berapa dan background apa?,10,0.26,⚠️ Tidak ada jawaban yang cocok
surat pernyataan pengunduran diri mahasiswa d2 pls,2,0.26,⚠️ Tidak ada jawaban yang cocok
minta link buat ngurus permohonan email polinema,2,0.25,⚠️ Tidak ada jawaban yang cocok
cara bikin surat permohonan ktm baru karena hilang,2,0.28,⚠️ Tidak ada jawaban yang cocok
min link untuk pengajuan permohonan email kampus,2,0.29,⚠️ Tidak ada jawaban yang cocok
minta template surat perbaikan nama di ijazah,2,0.3,⚠️ Tidak ada jawaban yang cocok
surat keterangan sakit format kampus polinema,2,0.25,⚠️ Tidak ada jawaban yang cocok
cara hubungi admin jurusan ti gimana?,4,0.27,⚠️ Tidak ada jawaban yang cocok
cara chat dosen jurusan ti nomornya dapat dari mana?,4,0.26,⚠️ Tidak ada jawaban yang cocok
Haii,8,0.0,⚠️ Tidak ada jawaban yang cocok
Helloo,8,0.0,⚠️ Tidak ada jawaban yang cocok
Heii,8,0.0,⚠️ Tidak ada jawaban yang cocok
Heyy,8,0.0,⚠️ Tidak ada jawaban yang cocok
Hay,8,0.0,⚠️ Tidak ada jawaban yang cocok
Hello ada orang,8,0.0,⚠️ Tidak ada jawaban yang cocok
Waalaikumsalam,8,0.0,⚠️ Tidak ada jawaban yang cocok
Slmkm,8,0.0,⚠️ Tidak ada jawaban yang cocok
Aslmkm,8,0.0,⚠️ Tidak ada jawaban yang cocok
Assalam,8,0.0,⚠️ Tidak ada jawaban yang cocok
Salam kenal,8,0.0,⚠️ Tidak ada jawaban yang cocok
Salam semua,8,0.0,⚠️ Tidak ada jawaban yang cocok
Salken,8,0.0,⚠️ Tidak ada jawaban yang cocok
Woi,8,0.0,⚠️ Tidak ada jawaban yang cocok
Oii,8,0.0,⚠️ Tidak ada jawaban yang cocok
Euy ada ga,8,0.0,⚠️ Tidak ada jawaban yang cocok
Hei guys,8,0.0,⚠️ Tidak ada jawaban yang cocok
Nyet aktif ga,8,0.0,⚠️ Tidak ada jawaban yang cocok
Gaes,8,0.0,⚠️ Tidak ada jawaban yang cocok
Sis bisa tanya ga,8,0.0,⚠️ Tidak ada jawaban yang cocok
Hei bang,8,0.0,⚠️ Tidak ada jawaban yang cocok
Tes tes,8,0.0,⚠️ Tidak ada jawaban yang cocok
Testing,8,0.0,⚠️ Tidak ada jawaban yang cocok
Tes 1 2 3,8,0.0,⚠️ Tidak ada jawaban yang cocok
Masih aktif ga,8,0.0,⚠️ Tidak ada jawaban yang cocok
Online ga,8,0.0,⚠️ Tidak ada jawaban yang cocok
Nyala ga botnya,8,0.0,⚠️ Tidak ada jawaban yang cocok
Tes koneksi,8,0.0,⚠️ Tidak ada jawaban yang cocok
Sistem aktif ga,8,0.0,⚠️ Tidak ada jawaban yang cocok
Numpang tanya ya,8,0.0,⚠️ Tidak ada jawaban yang cocok
Boleh tanya ga,8,0.0,⚠️ Tidak ada jawaban yang cocok
Izin nanya,8,0.0,⚠️ Tidak ada jawaban yang cocok
Mau nanya boleh,8,0.0,⚠️ Tidak ada jawaban yang cocok
Maaf ganggu ya,8,0.0,⚠️ Tidak ada jawaban yang cocok
Punten mau nanya dulu,8,0.0,⚠️ Tidak ada jawaban yang cocok
Izin bertanya sebentar,8,0.0,⚠️ Tidak ada jawaban yang cocok
Boleh minta info ga,8,0.0,⚠️ Tidak ada jawaban yang cocok
Mau tanya dikit ya,8,0.0,⚠️ Tidak ada jawaban yang cocok
Maaf ya numpang tanya,8,0.0,⚠️ Tidak ada jawaban yang cocok
Boleh bertanya,8,0.0,⚠️ Tidak ada jawaban yang cocok
siapa yang input absensi mahasiswa,7,0.27,⚠️ Tidak ada jawaban yang cocok
aturan pengisian absensi kuliah yang benar,7,0.27,⚠️ Tidak ada jawaban yang cocok
pelatihan karakter untuk maba itu gimana,6,0.0,⚠️ Tidak ada jawaban yang cocok
