id_kb;id_kategori;pertanyaan_baku;jawaban
11;2;Surat Keterangan Kematian Mahasiswa;Jika mahasiswa meninggal dunia, wali atau perwakilan wajib menyerahkan Akta Kematian ke Admin Akademik. Admin akan mengubah status di SIAKAD menjadi Meninggal Dunia untuk dilaporkan ke PDDIKTI.
12;2;Syarat Surat Keterangan Prodi Serumpun;Surat Keterangan Prodi Serumpun (biasanya untuk CPNS/BUMN) diajukan oleh alumni ke Direktur. Kasubag Akademik akan mengonfirmasi kesamaan rumpun ke Ketua Jurusan terkait sebelum surat diterbitkan.
13;2;Prosedur Pengambilan Surat Prodi Serumpun;Surat Prodi Serumpun membutuhkan waktu proses 3-5 hari kerja. Surat ini wajib ditandatangani oleh Wakil Direktur I dan dicetak dengan stempel basah asli. Tidak melayani pengiriman via softfile.
14;2;Surat Keterangan Bukti Alumni;Surat ini menerangkan bahwa mahasiswa pernah kuliah di Polinema sampai lulus. Pengajuan melampirkan fotokopi Ijazah, Transkrip, dan KTP. Surat ditandatangani oleh Kepala BAK.
15;2;Syarat Surat Keterangan Aktif Kuliah SKK;SKK hanya bisa diajukan 1 kali per semester. Syarat utamanya adalah mahasiswa berstatus aktif, sedang cuti, terminal, atau Mengulang TA, serta TIDAK memiliki tunggakan UKT atau SPFP.
16;2;Cara Cetak Surat Keterangan Aktif Kuliah SKK;Pengajuan SKK dilakukan mandiri melalui SIAKAD pada menu Surat dan Kuesioner lalu pilih Permintaan Surat. Dokumen akan di-generate otomatis dalam bentuk PDF yang bisa langsung diunduh dan dicetak mahasiswa.
17;2;Definisi dan Syarat Surat Model C;Surat Model C digunakan untuk syarat tunjangan gaji orang tua (khusus anak PNS/TNI/POLRI/BUMN). Syaratnya: mahasiswa aktif tidak lebih dari 25 tahun, belum bekerja, belum menikah, dan lunas UKT semester berjalan.
18;2;Prosedur Pembuatan Surat Model C;Mahasiswa melengkapi data pekerjaan orang tua (NIP/NRP, Pangkat, Golongan) di SIAKAD. Setelah data lengkap, ajukan Surat Model C di menu Permintaan Surat. Surat akan ditandatangani oleh Ka BAK.
19;2;Syarat Surat Keterangan Pernah Kuliah;Ditujukan bagi mahasiswa Drop Out, Mengundurkan Diri, atau Keluar untuk pindah kampus. Mengajukan permohonan ke Direktur melampirkan fotokopi KHS terakhir dan surat keterangan bebas tanggungan perpustakaan.
20;2;Syarat Surat Keterangan Berkelakuan Baik;Surat kelakuan baik dari kampus berlaku untuk 1 semester. Mahasiswa wajib meminta surat rekomendasi dari Dosen Pembina Akademik (DPA) dan Ketua Jurusan sebelum mengajukannya ke Admin Wakil Direktur III.
21;2;Syarat Surat Keterangan Tidak Menerima Beasiswa;Mahasiswa mengajukan permohonan ke Bagian Kemahasiswaan pusat. Data akan diverifikasi oleh Pokja Kemahasiswaan untuk memastikan tidak ada pencairan beasiswa berjalan. Surat ditandatangani oleh Wakil Direktur III.
22;3;Layanan Surat Keterangan Rincian UKT;Surat Keterangan Besaran UKT (untuk lampiran daftar beasiswa) dapat diminta dengan mengajukan form permohonan ke Ka BAK atau mencetaknya langsung melalui menu layanan surat di SIAKAD.
23;3;Kriteria Penerima Keringanan UKT Mahasiswa Baru;Keringanan UKT Maba hanya untuk jalur Reguler/Mandiri non-KIPK dengan kondisi: Yatim Piatu, Yatim/Piatu, Ayah kandung kena PHK, atau Ayah kandung sakit keras permanen terhitung sejak masa pendaftaran seleksi.
24;3;Berkas Pengajuan Keringanan UKT Mahasiswa Baru;Dokumen wajib meliputi: SKTM Kelurahan, Kartu Keluarga, Slip Gaji/Surat Keterangan Penghasilan, Rekening Listrik, PBB, STNK Kendaraan, Foto Rumah (depan dan dalam), dan dokumen pendukung (Surat PHK/Surat Medis/Akta Kematian).
25;3;Alur Pendaftaran Keringanan UKT Mahasiswa Baru;Pendaftaran dilakukan terpusat melalui web keringananukt.polinema.ac.id. Tim Verifikator (Wadir II dan Pokja) akan melakukan skoring dan desk evaluasi. Keputusan penurunan kategori UKT bersifat mutlak.
26;3;Syarat Keringanan UKT Mahasiswa Lama;Diperuntukkan bagi mahasiswa reguler semester 3 ke atas yang tidak menerima beasiswa. Mahasiswa Mandiri bisa mengajukan jika status orang tua meninggal, PHK, atau sakit keras di tengah masa perkuliahan berjalan.
27;3;Alur Keringanan UKT Mahasiswa Lama;Pengajuan dilakukan di SIAKAD pada menu UKT lalu Keringanan UKT. Mahasiswa mengunggah berkas SKTM, tagihan air/listrik, dan foto rumah. Jika disetujui, nominal UKT di SIAKAD akan otomatis berubah sebelum masa pembayaran.
28;3;Syarat Penundaan atau Angsuran UKT;Angsuran UKT diperbolehkan bagi mahasiswa yang kesulitan finansial. Syarat utamanya adalah pembayaran angsuran pertama MINIMAL 60% dari total besaran UKT atau IPI yang wajib dibayarkan semester tersebut.
29;3;Prosedur Pengajuan Angsuran UKT Mahasiswa Baru;Mahasiswa baru mengajukan angsuran melalui web penundaanukt.polinema.ac.id. Wajib mencetak dan menandatangani Surat Pernyataan Kesanggupan Melunasi di atas materai 10000 sesuai tanggal jatuh tempo yang disepakati.
30;3;Prosedur Pengajuan Angsuran UKT Mahasiswa Lama;Mahasiswa lama dapat menghubungi layanan WA Admin Akademik untuk meminta form angsuran UKT. Bukti pembayaran sisa angsuran wajib dikonfirmasikan kembali ke Subbag Akademik sebelum masa ujian akhir semester.
31;4;Fungsi Surat Keterangan Lunas Administrasi SKLA;SKLA wajib dimiliki mahasiswa tingkat akhir sebagai syarat untuk mendaftar Sidang/Ujian Tugas Akhir (Skripsi). SKLA membuktikan bahwa mahasiswa bebas tunggakan UKT dan data ijazahnya telah divalidasi.
32;4;Syarat dan Cara Cetak SKLA;Syarat mendapatkan SKLA: Lunas UKT, Lunas SPFP/IPI, Foto Ijazah telah tervalidasi, dan Data Ijazah telah tervalidasi Admin. SKLA dapat diunduh mandiri di SIAKAD menu Surat & Kuesioner.
33;4;Surat Keterangan Bebas Tanggungan;Surat ini diurus setelah mahasiswa dinyatakan lulus Yudisium. Syaratnya: Poin SKKM terpenuhi, validasi tracer study, dan mengumpulkan Hardcover Tugas Akhir ke perpustakaan pusat serta ruang baca prodi.
34;4;Kuota dan Pendaftaran Wisuda;Pendaftaran wisuda dilakukan secara mandiri di web alumni.polinema.ac.id. Calon wisudawan bebas memilih gelombang wisuda selama kuota pendaftar pada gelombang tersebut belum penuh.
35;4;Undangan dan Pengambilan Toga Wisuda;Setelah mendaftar wisuda, mahasiswa diwajibkan mengambil perlengkapan Toga di bagian perlengkapan. Undangan wisuda untuk orang tua bersifat digital (QR Code) yang dapat diakses di portal alumni.
36;4;Syarat Legalisir Ijazah dan Transkrip Nilai;Alumni wajib mengisi Tracer Study di web alumni. Syarat legalisir adalah membawa Ijazah/Transkrip asli dan fotokopinya. Maksimal legalisir adalah 5 lembar per dokumen dan berbatas waktu pengambilan 1 tahun.
37;4;Prosedur Legalisir Ijazah Stempel Basah;Dokumen fotokopi ijazah diserahkan ke loket Akademik Gedung AA. Dokumen akan diproses maksimal 5 hari kerja untuk mendapatkan stempel basah dan tanda tangan Wakil Direktur I. Pengambilan bisa diwakilkan dengan surat kuasa.
38;4;Perbaikan Ijazah Salah Ketik;Jika ada kesalahan nama/tanggal lahir di Ijazah yang dicetak, alumni mengajukan permohonan ke Direktur melampirkan Akta Kelahiran, Ijazah SMA, dan KTP. Layanan perbaikan (surat keterangan ralat) hanya dilayani 1 kali seumur hidup.
39;4;Syarat Penggantian Ijazah Hilang;Ijazah fisik asli TIDAK BISA dicetak ulang. Sebagai gantinya diterbitkan Surat Keterangan Pengganti Ijazah. Syaratnya: Surat Kehilangan dari Kepolisian Resort (Polres), fotokopi ijazah yang hilang, transkrip, dan KTP.
40;4;Apa itu Ijazah Hybrid;Mulai kelulusan Semester Genap 2021/2022, Polinema menerapkan Ijazah Hybrid. Lulusan mendapat Ijazah Fisik (kertas) dan Ijazah Digital (PDF) ber-TTE (Tanda Tangan Elektronik) bersertifikat serta berstempel TERA PERURI.
41;4;Cara Mendapatkan Ijazah Digital;Ijazah digital dalam format PDF akan dikirimkan langsung ke alamat email pribadi alumni. Syarat pengirimannya adalah alumni harus sudah menyelesaikan bebas tanggungan dan memverifikasi alamat email aktif di portal SIMFONI.
42;4;Validasi Keaslian Ijazah Digital;Ijazah digital tidak boleh diubah susunan PDF-nya (misal digabung dengan dokumen lain), karena akan merusak Tanda Tangan Elektronik di dalamnya sehingga file terbaca invalid saat diverifikasi secara digital.
43;4;Syarat Pendaftaran Ujian Tugas Akhir;Mahasiswa bisa mendaftar ujian TA jika: lulus mata kuliah PKL (minimal C), memiliki SKLA, poin SKKM terpenuhi (D3=13, D4=15), telah menginput mata kuliah Skripsi di KRS, dan mendapat ACC Dosen Pembimbing.
44;5;Syarat Mengurus KTM Hilang;Mahasiswa wajib melaporkan kehilangan ke kantor polisi. Syarat pembuatan KTM baru: Surat Kehilangan dari Polisi, form permohonan ttd Ka BAK dan Admin Prodi, serta sudah mengunggah foto KTM terbaru di SIAKAD.
45;5;Prosedur Mengurus KTM Patah atau Rusak;Penggantian KTM rusak hanya dilayani 1 kali. Mahasiswa menyerahkan fisik KTM yang patah ke Akademik Pusat beserta form permohonan penggantian KTM yang telah ditandatangani Ka BAK.
46;5;Perubahan Data Mahasiswa PDM di SIAKAD;Jika data SIAKAD (Nama, NIK, Tempat Lahir) salah ketik, mahasiswa wajib mengunduh Form PDM di SIAKAD, mengisi perbaikan data, dan mengunggahnya kembali beserta scan KTP/KK/Akta asli. Admin akan mengupdate data tersebut ke PDDIKTI.
47;5;Syarat dan Arti NIM Mahasiswa;NIM digenerate jika mahasiswa telah divalidasi berkasnya, lulus tes buta warna (untuk prodi tertentu), dan bebas narkoba. Format NIM 10 digit: 2 digit tahun masuk, 1 digit jenjang (3=D3, 4=D4), 3 digit kode prodi, 1 digit jalur, 3 digit nomor urut.
48;5;Ketentuan Pakaian Foto KTM;Pas foto untuk KTM wajib menggunakan Kemeja Putih berkerah, Jas polos warna Biru Tua/Hitam. Pria menggunakan dasi hitam. Wanita berhijab menggunakan jilbab putih polos yang dimasukkan ke dalam kerah jas.
49;5;Ketentuan Background Foto KTM;Pas foto KTM harus menggunakan background warna Biru Terang (Kode warna: #46b4f0) untuk mahasiswa lama, atau warna merah/biru sesuai instruksi kepanitiaan Maba pada tahun tersebut. File format JPG maksimal 2MB.
50;5;Ketentuan Pakaian Foto Ijazah;Pas foto untuk Ijazah WAJIB menggunakan Jas Almamater Polinema, Kemeja Putih berkerah, dan tanpa kacamata. Pria memakai dasi hitam. Wanita berhijab memakai jilbab putih polos di dalam Jas Almamater. Background sesuai ketentuan kelulusan.
51;5;Syarat Verifikasi Data Pendaftaran Maba;Calon mahasiswa baru wajib memvalidasi 10 item data di SIAKAD: Nama, NIK, Tempat Lahir, Tgl Lahir, Jenis Kelamin, Agama, Nama Ibu, NIK Ibu, Nama Ayah, NIK Ayah. Data ini HARUS persis sama dengan KK, KTP, dan Akta Kelahiran.
52;5;Penanganan Perbedaan Data KK dan Akta Maba;"Jika terdapat ketidaksesuaian penulisan nama antara KK dan Akta Kelahiran, mahasiswa baru wajib mengunduh, mengisi, dan mengunggah ""Surat Pernyataan Kebenaran Data"" bermaterai saat daftar ulang."
53;5;Verifikasi Data Mahasiswa Lama;Mahasiswa semester akhir wajib melakukan Verifikasi Data Mahasiswa di menu General SIAKAD. Harus mengunggah scan KTP mahasiswa, KTP Orang Tua, KK, Akta Kelahiran, dan Ijazah SMA asli untuk diverifikasi oleh Admin Pusat.
54;5;Surat Pernyataan Kebenaran Penulisan Ijazah;Setelah data diri diverifikasi, mahasiswa wajib mencetak Surat Pernyataan Kebenaran Data Penulisan Ijazah, menandatanganinya di atas materai, dan mengunggahnya kembali ke SIAKAD sebagai syarat verifikasi akhir.
55;6;Kegiatan Pembinaan Soft Skill Mahasiswa;Seluruh mahasiswa baru wajib mengikuti serangkaian kegiatan pembinaan karakter, yaitu Pelatihan Kedisiplinan (LDK) dan Pengenalan Kehidupan Kampus (PK2MB). Kegiatan ini adalah syarat wajib kelulusan.
56;6;Standar Poin SKKM Kelulusan;Satuan Kredit Kegiatan Mahasiswa (SKKM) dikumpulkan dari kegiatan organisasi, lomba, dan kepanitiaan. Syarat minimal kelulusan SKKM adalah 13 poin untuk jenjang D3, dan 15 poin untuk jenjang D4.
57;6;Syarat Pendaftaran Beasiswa Institusi;Pendaftaran beasiswa dilakukan sesuai kuota mitra. Syarat umum: mahasiswa aktif, IPK memenuhi standar, tidak sedang menerima beasiswa lain, dan lolos desk evaluasi kelayakan finansial oleh Pokja Kemahasiswaan.
58;6;Proses Pencairan Dana Beasiswa;Mahasiswa yang ditetapkan sebagai penerima beasiswa melalui SK Direktur diwajibkan mengunggah nomor rekening bank yang valid ke dalam sistem pencairan. Dana akan ditransfer langsung oleh pihak Mitra atau kampus ke rekening tersebut.
59;6;Pendataan Prestasi dan Juara Lomba;Mahasiswa yang menjuarai perlombaan tingkat Regional, Nasional, atau Internasional WAJIB melapor ke SIAKAD dengan mengunggah sertifikat, surat tugas, dan dokumentasi foto untuk dimasukkan ke sistem SIMKATMAWA.
60;6;Reward Dana Penghargaan Lomba;Mahasiswa yang berhasil meraih Juara 1, 2, atau 3 pada kompetisi tingkat Nasional dan Internasional yang diakui kampus dapat mengajukan klaim reward atau dana penghargaan uang tunai dari Polinema.
61;6;Pendaftaran PKM Program Kreativitas Mahasiswa;Mahasiswa membentuk tim lintas angkatan/jurusan, mencari Dosen Pembimbing, dan mengunggah proposal pada masa seleksi PKM Internal Polinema. Tim yang lolos seleksi internal akan didaftarkan ke portal PKM Nasional (DIKSI).
62;6;Pelaporan Kemajuan PKP PKM Pendanaan;Tim PKM yang dinyatakan lolos pendanaan nasional diwajibkan membuat logbook, menyusun Laporan Kemajuan (PKP), dan Laporan Akhir sebagai syarat wajib pencairan dana insentif tahap akhir (20%).
63;6;Klaim Asuransi Kecelakaan Mahasiswa;Mahasiswa Polinema dilindungi asuransi kecelakaan. Jika terjadi kecelakaan, wali mahasiswa dapat mengajukan klaim dengan menyerahkan Surat Kronologis Kecelakaan dari Polisi, fotokopi KTP, KK, KTM, dan Buku Rekening.
64;6;Klaim Asuransi Kematian Mahasiswa;Jika mahasiswa meninggal dunia (baik karena sakit atau kecelakaan), wali wajib mengurus klaim asuransi ke Bagian Kemahasiswaan dengan melampirkan Surat Kematian asli dari Rumah Sakit atau Kelurahan.
65;7;Jam Operasional Helpdesk Akademik;Layanan pertanyaan, keluhan sistem, atau bantuan akademik melalui web helpakademik.polinema.ac.id dilayani pada jam operasional kerja, yaitu Senin hingga Jumat, pukul 07.30 - 16.00 WIB.
66;7;Cara Menggunakan Helpdesk Akademik;Sebelum bertanya ke Helpdesk, mahasiswa diwajibkan membaca halaman FAQ. Jika masalah belum terpecahkan, mahasiswa dapat membuat tiket (Ticket) pengaduan dengan menggunakan bahasa yang jelas, sopan, dan melampirkan screenshot kendala.
67;7;Aturan Input Presensi dan Activity Control;Kehadiran mahasiswa (Activity Control) wajib diinput oleh Dosen pengampu mata kuliah di dalam SIAKAD pada saat jadwal perkuliahan berlangsung.
68;7;Prosedur Izin Sakit Mahasiswa;Jika mahasiswa tidak masuk karena sakit lebih dari 1 hari, wajib menyerahkan Surat Keterangan Sakit dari Dokter. Jika karena keperluan mendesak, wajib ada surat izin yang ditandatangani orang tua.
69;7;Batas Waktu Perbaikan Absensi SIAKAD;Apabila terjadi kesalahan input kehadiran (Alpha), mahasiswa harus segera melapor kepada Dosen dan Admin Prodi. Batas maksimal perbaikan status kehadiran di SIAKAD adalah 3 hari kerja terhitung sejak hari perkuliahan tersebut.
70;7;Prosedur Request Tanda Tangan KHS Digital;Mahasiswa wajib membuka SIAKAD menu Nilai Mahasiswa, lalu menekan tombol Request Tandatangan KHS. Sistem akan mengirim notifikasi persetujuan kepada Ketua Jurusan untuk di-ACC secara digital.
71;7;Cara Download KHS Digital Semester;Setelah status request KHS disetujui oleh Ketua Jurusan di SIAKAD, mahasiswa dapat mengunduh Kartu Hasil Studi (KHS) tersebut dalam format PDF yang sudah dilengkapi dengan QR Code (Tanda Tangan Digital). KHS ini dapat dicetak secara mandiri.
72;7;Prosedur Lupa Password Web Alumni SIMFONI;Alumni yang tidak bisa login ke sistem alumni.polinema.ac.id dapat mengeklik menu Lupa Password. Pemulihan akun dilakukan dengan mencocokkan NIM dan Tanggal Lahir (Format: YYYY-MM-DD) yang terdaftar di database PDDIKTI.
73;7;Kewajiban Pengisian Tracer Study SIMFONI;Seluruh alumni diwajibkan secara berkala memperbarui data biodata diri, riwayat pekerjaan, atau riwayat studi lanjut di portal SIMFONI. Pengisian Tracer Study ini adalah syarat mutlak untuk mendapatkan layanan Legalisir Ijazah.
74;3;Cara Pembayaran Tagihan UKT;Pembayaran UKT dapat dilakukan melalui Bank Mandiri, BNI, BRI, atau BTN menggunakan nomor Virtual Account (VA) atau Kode Billing yang bisa di-generate langsung melalui menu Keuangan di SIAKAD masing-masing mahasiswa.
75;6;Cara Memenuhi Kompen;Mahasiswa yang memiliki tanggungan alpha (kompen) wajib membayarnya dengan mengerjakan tugas kompen. Silakan melapor ke admin prodi, laboran, atau dosen untuk meminta tugas. Setelah selesai, minta tanda tangan pada form kompen dan serahkan ke admin prodi agar status alpha dihapus dari SIAKAD.
76;7;Cara Melihat Jadwal Kelas;Jadwal kelas atau perkuliahan dapat dilihat secara mandiri melalui akun SIAKAD masing-masing mahasiswa pada menu 'Jadwal Kuliah'. Selain itu, jadwal lengkap biasanya juga dibagikan oleh admin prodi kepada Ketua Tingkat (Komti) di awal semester.
77;7;Informasi Kontak Dosen;Nomor kontak whatsapp atau telepon dosen tidak dipublikasikan secara umum di sistem demi menjaga privasi. Untuk menghubungi dosen pengampu, kamu bisa meminta kontaknya melalui Ketua Tingkat (Komti), bertanya ke admin prodi, atau menemui dosen yang bersangkutan secara langsung di ruang dosen/jurusan.
